기간	자치구	동	합계	합계	합계	지체	지체	지체	뇌병변	뇌병변	뇌병변	시각	시각	시각	청각	청각	청각	언어	언어	언어	지적장애	지적장애	지적장애	자폐성	자폐성	자폐성	정신장애	정신장애	정신장애	신장장애	신장장애	신장장애	심장장애	심장장애	심장장애	호흡기	호흡기	호흡기	간	간	간	안면	안면	안면	장루요루	장루요루	장루요루	뇌전증	뇌전증	뇌전증
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2020	용산구	소계	7,960	4,602	3,358	3,441	1,884	1,557	784	470	314	967	592	375	1,160	638	522	71	49	22	536	337	199	121	97	24	292	155	137	355	214	141	22	15	7	47	37	10	70	56	14	6	5	1	65	39	26	23	14	9
2020	용산구	후암동	767	438	329	320	171	149	91	57	34	83	47	36	103	55	48	8	7	1	68	43	25	10	6	4	37	18	19	29	19	10	2	1	1	5	3	2	4	4	0	1	1	0	3	3	0	3	3	0
2020	용산구	용산2가동	468	272	196	201	104	97	43	30	13	54	34	20	75	45	30	4	4	0	40	24	16	3	3	0	20	10	10	17	9	8	1	0	1	3	3	0	4	4	0	0	0	0	3	2	1	0	0	0
2020	용산구	남영동	549	432	117	224	172	52	50	36	14	80	68	12	67	54	13	5	4	1	46	37	9	6	5	1	40	32	8	17	12	5	0	0	0	7	6	1	0	0	0	0	0	0	3	2	1	4	4	0
2020	용산구	원효로2동	469	261	208	191	104	87	51	29	22	61	30	31	78	45	33	4	4	0	28	16	12	3	3	0	15	6	9	20	13	7	1	0	1	4	2	2	6	5	1	0	0	0	7	4	3	0	0	0
2020	용산구	효창동	344	174	170	154	70	84	38	20	18	42	20	22	50	27	23	2	1	1	18	12	6	6	6	0	8	2	6	14	8	6	1	1	0	1	1	0	3	3	0	1	1	0	4	1	3	2	1	1
2020	용산구	용문동	488	262	226	207	106	101	48	29	19	49	30	19	91	42	49	4	3	1	32	17	15	9	6	3	15	8	7	17	9	8	3	3	0	2	1	1	6	5	1	0	0	0	2	1	1	3	2	1
2020	용산구	이촌1동	528	302	226	201	97	104	54	34	20	63	37	26	91	51	40	6	4	2	30	22	8	21	15	6	11	4	7	34	26	8	2	0	2	2	2	0	6	5	1	1	1	0	6	4	2	0	0	0
2020	용산구	이촌2동	370	203	167	170	94	76	32	15	17	36	18	18	55	24	31	7	6	1	22	15	7	4	3	1	14	10	4	18	10	8	0	0	0	2	1	1	5	4	1	0	0	0	3	2	1	2	1	1
2020	용산구	이태원1동	231	125	106	98	50	48	27	13	14	20	14	6	35	23	12	1	1	0	15	10	5	5	3	2	10	4	6	12	2	10	0	0	0	1	1	0	1	1	0	0	0	0	4	2	2	2	1	1
2020	용산구	이태원2동	326	185	141	150	78	72	25	18	7	44	23	21	43	23	20	1	0	1	24	12	12	3	2	1	8	4	4	16	13	3	3	3	0	4	4	0	3	3	0	0	0	0	1	1	0	1	1	0
